 Run_No.   Original_ID Tr     Solution     Inbr_%                                                                        
       1        106001  1    28.165169        0.000    
       1        106001  2    12.595086        0.000    
       1        106001  3   -5.5908128        0.000    
       2        106006  1   -20.653152        0.000    
       2        106006  2   -3.0139319        0.000    
       2        106006  3    1.9340235        0.000    
       3        106011  1    15.440851        0.000    
       3        106011  2  -0.52098142        0.000    
       3        106011  3  -0.48010127        0.000    
       4        106012  1  -0.19484185        0.000    
       4        106012  2   -11.288974        0.000    
       4        106012  3    3.9373331        0.000    
       5        106024  1    16.892615        0.000    
       5        106024  2    9.9070271        0.000    
       5        106024  3   -4.1721724        0.000    
       6        106077  1   -3.7439618        0.000    
       6        106077  2   -1.3543607        0.000    
       6        106077  3   0.63182851        0.000    
       7        106084  1    26.469062        0.000    
       7        106084  2    6.9889124        0.000    
       7        106084  3   -3.5666396        0.000    
       8        106087  1    64.188545        0.000    
       8        106087  2    1.8132105        0.000    
       8        106087  3   -3.3815527        0.000    
       9        106116  1   -60.696391        0.000    
       9        106116  2   -14.845409        0.000    
       9        106116  3    7.7680076        0.000    
      10        106123  1    9.4500389        0.000    
      10        106123  2   -2.1191562        0.000    
      10        106123  3   0.33263533        0.000    
      11        106137  1   -17.327969        0.000    
      11        106137  2    1.2466914        0.000    
      11        106137  3   0.30854574        0.000    
      12        106148  1   -28.843651        0.000    
      12        106148  2    2.6148521        0.000    
      12        106148  3   0.32589984        0.000    
      13        106153  1    34.791747        0.000    
      13        106153  2    1.5764262        0.000    
      13        106153  3   -2.0395650        0.000    
      14        106161  1    45.099947        0.000    
      14        106161  2    7.9807850        0.000    
      14        106161  3   -4.7103415        0.000    
      15        106166  1   -19.649466        0.000    
      15        106166  2    5.2500865        0.000    
      15        106166  3  -0.98542425        0.000    
      16        106168  1   -31.587502        0.000    
      16        106168  2   -11.704323        0.000    
      16        106168  3    5.4273923        0.000    
      17        106246  1    49.974140        0.000    
      17        106246  2    1.5849447        0.000    
      17        106246  3   -2.6930897        0.000    
      18        106963  1    62.172361        0.000    
      18        106963  2    14.374987        0.000    
      18        106963  3   -7.6674280        0.000    
      19        701002  1    21.666089        0.000    
      19        701002  2  -0.47177321        0.000    
      19        701002  3  -0.76430303        0.000    
      20        701010  1   -12.254115        0.000    
      20        701010  2   -1.6975562        0.000    
      20        701010  3    1.1159916        0.000    
      21        701014  1    12.452311        0.000    
      21        701014  2   -9.5064510        0.000    
      21        701014  3    2.7751178        0.000    
      22        701019  1   -6.7660814        0.000    
      22        701019  2  -0.92970399        0.000    
      22        701019  3   0.61348985        0.000    
      23        701026  1   -4.1097706        0.000    
      23        701026  2    1.7393225        0.000    
      23        701026  3  -0.42919861        0.000    
      24        701028  1   0.95086440        0.000    
      24        701028  2   0.97423833E-001   0.000    
      24        701028  3  -0.74738325E-001   0.000    
      25        701042  1    23.915325        0.000    
      25        701042  2   -5.8450255        0.000    
      25        701042  3    1.0095057        0.000    
      26        701061  1    47.322652        0.000    
      26        701061  2    14.578191        0.000    
      26        701061  3   -7.1018328        0.000    
      27        701063  1   -1.6122986        0.000    
      27        701063  2  -0.89332716E-001   0.000    
      27        701063  3   0.10006615        0.000    
      28        701064  1   -13.591991        0.000    
      28        701064  2   -10.978200        0.000    
      28        701064  3    4.4033843        0.000    
      29        701101  1   -22.537024        0.000    
      29        701101  2    3.6285740        0.000    
      29        701101  3  -0.29704108        0.000    
      30        701102  1   -31.833136        0.000    
      30        701102  2   -2.2132701        0.000    
      30        701102  3    2.1344483        0.000    
      31        701103  1    22.690298        0.000    
      31        701103  2   -2.1577402        0.000    
      31        701103  3  -0.22139644        0.000    
      32        701140  1    15.974545        0.000    
      32        701140  2   -3.2985458        0.000    
      32        701140  3   0.46357406        0.000    
      33        701153  1   -34.739384        0.000    
      33        701153  2   -11.096812        0.000    
      33        701153  3    5.3507544        0.000    
      34        701170  1    54.862585        0.000    
      34        701170  2   0.15536215        0.000    
      34        701170  3   -2.4051610        0.000    
      35        702207  1   -3.6546495        0.000    
      35        702207  2   -7.5598606        0.000    
